PLN_AREA_N,POPULATION
ANG MO KIO,170940
BEDOK,287170
BISHAN,90090
BOON LAY,30
BUKIT BATOK,138040
BUKIT MERAH,154480
BUKIT PANJANG,141380
BUKIT TIMAH,75640
CENTRAL WATER CATCHMENT,
CHANGI,2450
CHANGI BAY,
CHOA CHU KANG,179140
CLEMENTI,91630
DOWNTOWN CORE,3710
GEYLANG,115890
HOUGANG,222870
JURONG EAST,84660
JURONG WEST,270350
KALLANG,100260
LIM CHU KANG,100
MANDAI,2150
MARINA EAST,
MARINA SOUTH,
MARINE PARADE,48310
MUSEUM,400
NEWTON,7140
NORTH-EASTERN ISLANDS,60
NOVENA,47640
ORCHARD,890
OUTRAM,21450
PASIR RIS,142920
PAYA LEBAR,40
PIONEER,90
PUNGGOL,130380
QUEENSTOWN,99350
RIVER VALLEY,9340
ROCHOR,14270
SELETAR,250
SEMBAWANG,77350
SENGKANG,219380
SERANGOON,119990
SIMPANG,
SINGAPORE RIVER,2840
SOUTHERN ISLANDS,1600
STRAITS VIEW,
SUNGEI KADUT,860
TAMPINES,259110
TANGLIN,19650
TENGAH,10
TOA PAYOH,122780
TUAS,70
WESTERN ISLANDS,
WESTERN WATER CATCHMENT,800
WOODLANDS,249780
YISHUN,205840
