Category,StoreType,OperatingHours,Telephone,Address,lng,lat
NTUC,Fairprice,7:00 AM - 11:30 PM,65696260,"BUKIT BATOK MRT, 10 Bukit Batok Central, #01- 08, Singapore 659958",103.749581,1.348822
NTUC,Fairprice Finest,12:00 AM - 11:59 PM,"62785506, 62785536","BUKIT HO SWEE, 50 Havelock Road, #01-755, Singapore 160050",103.82666,1.289806
NTUC,,12:00 AM - 11:59 PM,"62640398, 62657986","BOON LAY, 221 Boon Lay Place, #02-200, Boon Lay Shopping Complex, Singapore 640221",103.712472,1.346367
NTUC,,7:00 AM - 10:00 PM,"62734325, 62733163","BUKIT MERAH, 166 Bukit Merah Central, #02-3531, Singapore 150166",103.817549,1.282843
NTUC,,12:00 AM - 11:59 PM,"64438038, 64438538","BEDOK NORTH A, 212 Bedok North Street 1, #01- 147, Singapore 460212",103.931573,1.325958
NTUC,,12:00 AM - 11:59 PM,64499517,"BEDOK NORTH BLK 89, 89 Bedok North Street 4, #01-77/79, Singapore 460089",103.938252,1.33211
NTUC,FairPrice Finest,8:00 AM - 11:00 PM,"67628876, 67626746","BUKIT PANJANG PLAZA, 1 Jelebu Road, #01-15 & 02-20, Bukit Panjang Plaza, Singapore 677743",103.764145,1.380367
NTUC,,12:00 AM - 11:59 PM,64451072,"BEDOK RESERVOIR, 745 Bedok Reservoir Road, #01-3015, Singapore 470745",103.921806,1.337336
NTUC,,12:00 AM - 11:59 PM,"63536036, 63536040","BISHAN BLK 510, 510 Bishan Street 13, #01-520, Singapore 570510",103.849741,1.348907
NTUC,FairPrice Finest,12:00 AM - 11:59 PM,"64688415, 64684923","BUKIT TIMAH PLAZA, 1 Jalan Anak Bukit, #B1-01 & #B2-01, Bukit Timah Plaza, Singapore 588996",103.778688,1.338903
NTUC,,7:00 AM - 11:00 PM,"65431239, 65431147","CHANGI AIRPORT T2, 65 Airport Boulevard, #B16- 029, Basement Level South Terminal 2, Singapore 819643",103.989232,1.355174
NTUC,,12:00 AM - 11:59 PM,"67743663, 67740890","CLEMENTI A, 451 Clementi Ave 3, #01-307, Singapore 120451",103.765886,1.312924
NTUC,,12:00 AM - 11:59 PM,"67743657, 67745642","CLEMENTI BLK 352, 352 Clementi Ave 2, #01- 141/143, Singapore 120352",103.771188,1.314275
NTUC,,8:00 AM - 11:00 PM,"64696245, 64696244","CORONATION PLAZA, 587 Bukit Timah Road, #01- 01, Coronation Plaza, Singapore 269707",103.810019,1.323844
NTUC,,12:00 AM - 11:59 PM,"67860985, 67862467","EASTPOINT, 1 Simei Street 6, Singapore 528578",103.953042,1.342744
NTUC,,12:00 AM - 11:59 PM,"67488493, 67488494","GEYLANG EAST, 114 Aljunied Ave 2, #01-75, Singapore 380114",103.886849,1.32169
NTUC,FairPrice Finest,12:00 AM - 11:59 PM,"62870702, 62870703","HOUGANG, 202 Hougang Street 21, #01-00, Singapore 530202",103.884075,1.357433
