Category,StoreType,Address,Region,lng,lat,OperatingHours,Telephone,,
NTUC,Fairprice,"BUKIT BATOK MRT, 10 Bukit Batok Central, #01- 08, Singapore 659958",West,103.749581,1.348822,7:00 AM - 11:30 PM,65696260,,
NTUC,Fairprice Finest,"BUKIT HO SWEE, 50 Havelock Road, #01-755, Singapore 160050",Central,103.82666,1.289806,12:00 AM - 11:59 PM,"62785506, 62785536",,
NTUC,,"BOON LAY, 221 Boon Lay Place, #02-200, Boon Lay Shopping Complex, Singapore 640221",West,103.712472,1.346367,12:00 AM - 11:59 PM,"62640398, 62657986",,
NTUC,,"BUKIT MERAH, 166 Bukit Merah Central, #02-3531, Singapore 150166",Central,103.817549,1.282843,7:00 AM - 10:00 PM,"62734325, 62733163",,
NTUC,,"BEDOK NORTH A, 212 Bedok North Street 1, #01- 147, Singapore 460212",East,103.931573,1.325958,12:00 AM - 11:59 PM,"64438038, 64438538",,
NTUC,,"BEDOK NORTH BLK 89, 89 Bedok North Street 4, #01-77/79, Singapore 460089",East,103.938252,1.33211,12:00 AM - 11:59 PM,64499517,,
NTUC,FairPrice Finest,"BUKIT PANJANG PLAZA, 1 Jelebu Road, #01-15 & 02-20, Bukit Panjang Plaza, Singapore 677743",West,103.764145,1.380367,8:00 AM - 11:00 PM,"67628876, 67626746",,
NTUC,,"BEDOK RESERVOIR, 745 Bedok Reservoir Road, #01-3015, Singapore 470745",East,103.921806,1.337336,12:00 AM - 11:59 PM,64451072,,
NTUC,,"BISHAN BLK 510, 510 Bishan Street 13, #01-520, Singapore 570510",Central,103.849741,1.348907,12:00 AM - 11:59 PM,"63536036, 63536040",,
NTUC,FairPrice Finest,"BUKIT TIMAH PLAZA, 1 Jalan Anak Bukit, #B1-01 & #B2-01, Bukit Timah Plaza, Singapore 588996",Central,103.778688,1.338903,12:00 AM - 11:59 PM,"64688415, 64684923",,
NTUC,,"CHANGI AIRPORT T2, 65 Airport Boulevard, #B16- 029, Basement Level South Terminal 2, Singapore 819643",East,103.989232,1.355174,7:00 AM - 11:00 PM,"65431239, 65431147",,
NTUC,,"CLEMENTI A, 451 Clementi Ave 3, #01-307, Singapore 120451",West,103.765886,1.312924,12:00 AM - 11:59 PM,"67743663, 67740890",,
NTUC,,"CLEMENTI BLK 352, 352 Clementi Ave 2, #01- 141/143, Singapore 120352",West,103.771188,1.314275,12:00 AM - 11:59 PM,"67743657, 67745642",,
NTUC,,"CORONATION PLAZA, 587 Bukit Timah Road, #01- 01, Coronation Plaza, Singapore 269707",Central,103.810019,1.323844,8:00 AM - 11:00 PM,"64696245, 64696244",,
NTUC,,"EASTPOINT, 1 Simei Street 6, Singapore 528578",East,103.953042,1.342744,12:00 AM - 11:59 PM,"67860985, 67862467",,
NTUC,,"GEYLANG EAST, 114 Aljunied Ave 2, #01-75, Singapore 380114",Central,103.886849,1.32169,12:00 AM - 11:59 PM,"67488493, 67488494",,
NTUC,FairPrice Finest,"HOUGANG, 202 Hougang Street 21, #01-00, Singapore 530202",North-East,103.884075,1.357433,12:00 AM - 11:59 PM,"62870702, 62870703",,
NTUC,,"HOUGANG BLK 682, 682 Hougang Ave 4, #01-310, Singapore 530682",North-East,103.885383,1.374661,12:00 AM - 11:59 PM,63865586,,
NTUC,,"HOUGANG LIFESTYLE MALL, 90 Hougang Ave 10, #B1-07, Hougang Mall, Singapore 538766",North-East,103.893944,1.372602,8:00 AM - 10:00 PM,"63873123, 63873115",,
NTUC,,"JURONG EAST, 135 Jurong Gateway Road, #01-337, Singapore 600135",West,103.739689,1.333789,12:00 AM - 11:59 PM,"65608547, 65608364",,
NTUC,,"JURONG POINT, 1 Jurong West Central 2, #B1-09, Jurong Point, Singapore 648886",West,103.706742,1.339505,8:00 AM - 11:00 PM,"67924563, 67926091",,
NTUC,,"JALAN TECK WHYE, 140 Teck Whye Lane, #01- 351, Singapore 680140",West,103.753055,1.379958,12:00 AM - 11:59 PM,"67657211, 67657297",,
NTUC,,"JURONG WEST, 498 Jurong West Street 41, #01- 434/436/438, Singapore 640498",West,103.724111,1.348658,12:00 AM - 11:59 PM,65670073,,
NTUC,,"KALLANG BAHRU, 71 Kallang Bahru, #01-529/#02- 531, Singapore 330071",Central,103.870298,1.320927,7:00 AM - 10:00 PM,"62985369, 62980255",,
NTUC,,"LIMBANG, 533 Choa Chu Kang Street 51, #01-11, Limbang Shopping Centre, Singapore 680533",West,103.743152,1.391994,7:00 AM - 11:00 PM,68922977,,
NTUC,,"LOT 1 SHOPPERS' MALL, 21 Choa Chu Kang Ave 4, #B1-05, Lot 1 Shoppers' Mall, Singapore 689812",West,103.74501,1.385151,7:00 AM - 11:00 PM,"67665009, 67662784",,
NTUC,,"MARSILING MRT, 71 Woodlands Ave 3, #01-01, Marsiling Mrt Station, Singapore 739044",North,103.774247,1.432542,7:00 AM - 11:30 PM,"63631861, 63631862",,
NTUC,FairPrice Finest,"MARINE PARADE, 6 Marine Parade Central, Singapore 449411",East,103.907148,1.301348,8:00 AM - 11:00 PM,"63480826, 63454282",,
NTUC,,"NEW UPPER CHANGI, 57 New Upper Changi Road, #01-1334/1336/1338, Singapore 461057",East,103.941562,1.324664,12:00 AM - 11:59 PM,62418927,,
NTUC,,"SERANGOON BLK 152B, 152B Serangoon North Ave 1, #01-384, Singapore 552152",North-East,103.872957,1.369735,12:00 AM - 11:59 PM,"62860057, 62861967",,
NTUC,,"SHAW PLAZA, 360 Balestier Road, #B1-01, Shaw Plaza, Singapore 329783",Central,103.851151,1.325277,8:00 AM - 10:00 PM,"63520850, 63528736",,
NTUC,Click and Collect,"SUN PLAZA, 30 Sembawang Drive, #B1-01/02, Sun Plaza, Singapore 775713",North,103.819284,1.44817,8:00 AM - 10:00 PM,"65551180, 65551187",,
NTUC,,"TAMPINES BLK 107, 107 Tampines Street 11, #01- 353/355/357/359, Singapore 521107",East,103.948077,1.348375,12:00 AM - 11:59 PM,67819306,,
NTUC,,"TAMPINES BLK 475, 475 Tampines Street 44, #01- 145, Singapore 520475",East,103.953137,1.360448,12:00 AM - 11:59 PM,"67875228, 67875249",,
NTUC,,"TAMPINES MALL, 4 Tampines Central 5, #B1-12, Tampines Mall, Singapore 529510",East,103.944698,1.352611,8:00 AM - 11:00 PM,"67861953, 67865234",,
NTUC,,"TELOK BLANGAH, 78A Telok Blangah Street 32, #01-01/02, Singapore 100078",Central,103.809176,1.273148,12:00 AM - 11:59 PM,62704201,,
NTUC,,"TEBAN GARDEN, 37 Teban Garden Road, #01- 304/305/306, Singapore 600037",West,103.742938,1.320474,12:00 AM - 11:59 PM,65617073,,
NTUC,,"TANJONG PAGAR, 5 Tanjong Pagar Plaza, #01-01, Singapore 81005",Central,103.842421,1.276394,12:00 AM - 11:59 PM,"62245703, 62245761",,
NTUC,FairPrice Finest,"THOMSON PLAZA, 301 Upper Thomson, #03-37/38, Thomson Plaza, Singapore 574408",Central,103.831025,1.354649,8:00 AM - 10:30 PM,"64547738, 64545349",,
NTUC,,"TAMAN JURONG, 399 Yung Sheng Road, #01-35, Taman Jurong Shopping Centre, Singapore 610399",West,103.720188,1.334341,12:00 AM - 11:59 PM,"62664822, 62663044",,
